6.4734961,-73.2594392
6.4734961,-73.2594392
6.4644658,-73.2622147
6.4647697,-73.2621888
6.4651135,-73.2620884
6.4654197,-73.2619877
6.4658399,-73.2620898
6.4662231,-73.2617524
6.4666644,-73.2615573
6.4669824,-73.2614487
6.4672845,-73.2614068
6.4679837,-73.2610079
6.4683336,-73.2609014
6.4686862,-73.260776
6.4690512,-73.2606621
6.4693548,-73.2605992
6.4696604,-73.2605427
6.469981,-73.260376
6.4703884,-73.260345
6.4707645,-73.2602238
6.4704623,-73.260314
6.4701503,-73.2602483
6.4704506,-73.2602587
6.4710051,-73.2600328
6.4709074,-73.2604561
6.4709686,-73.2601286
6.4713202,-73.2600545
6.4716239,-73.2600374
6.4720584,-73.2598577
6.4724021,-73.2596488
6.4727247,-73.259575
6.4730296,-73.2594138
6.4733752,-73.2592183
